Calendar,PIA,NOR,VER,RUS,LEC
03/16/25,2,25,18,15,4
03/22/25,9,26,24,20,7
03/23/25,34,44,36,35,7
04/06/25,49,62,61,45,19
04/13/25,74,77,69,63,31
04/20/25,99,89,87,73,46
05/03/25,106,97,87,78,46
05/04/25,131,115,99,93,52
05/18/25,146,133,124,99,60
05/25/25,161,158,136,99,78
06/01/25,186,176,137,111,93
06/15/25,198,176,155,136,103
06/29/25,216,201,155,146,118
07/06/25,234,226,165,147,118
07/26/25,241,232,173,147,123
07/27/25,266,250,185,157,138
08/03/25,284,275,187,172,150
08/31/25,309,275,205,184,150
09/07/25,324,293,230,194,162
09/21/25,324,299,255,212,164
10/05/25,336,314,273,237,172
10/18/25,336,314,281,241,179
10/19/25,346,332,306,249,194
10/26/25,356,357,321,255,212
11/08/25,356,364,329,264,215
11/09/25,356,364,354,274,219
11/22/25,366,382,379,286,234
11/29/25,373,388,387,290,239
11/30/25,373,406,412,300,251
12/07/25,373,421,430,310,263
